,Links,Words
0,https://medportal.ru/mednovosti/v-rossii-prevyshen-epidporog-zabolevaemosti-grippom-i-orvi/,орви
1,https://medportal.ru/mednovosti/vrachi-schitayut-chto-covid-stanovitsya-pohozhim-na-prostudu-ili/,covid-19
2,https://medportal.ru/mednovosti/rospotrebnadzor-o-vozmozhnyh-ogranicheniyah-iz/,covid-19
3,https://medportal.ru/mednovosti/massovaya-vaktsinatsiya-ot-vpch-mozhet-snizit-risk-raka-sheyki-mat/,рак
4,https://medportal.ru/mednovosti/covid-vernulsya-chto-nuzhno-znat-etoy-osenyu-i-zimoy/,covid-19
5,https://medportal.ru/mednovosti/kak-ne-brosat-trenirovki-4-rabotayuschih-sposoba-ot-amerikan/,covid-19
6,https://medportal.ru/mednovosti/chernovik-pochemu-vazhno-vaktsinirovatsya-ot-grippa-otvety-na-s/,рак
7,https://medportal.ru/mednovosti/iz-rossii-uhodit-dostupnyy-preparat-ot-gepatita-s/,гепатит
8,https://medportal.ru/mednovosti/risk-epilepsii-rezko-vozrastaet-cherez-god-posle-perenesennog/,инсульт
9,https://medportal.ru/mednovosti/kundalini-yoga-mozhet-pomoch-pri-altsgemere/,диабет
10,https://medportal.ru/mednovosti/voz-vypustil-rezultaty-otsenok-opasnosti-i-riska-v-otnoshenii/,рак
11,https://medportal.ru/mednovosti/v-moskve-zavershayut-transformatsiyu-onkologicheskoy-sluzhby/,рак
12,https://medportal.ru/mednovosti/petrovaks-farm-peredal-preparat-longidaza-rossiyskim-bo/,covid-19
13,https://medportal.ru/mednovosti/obnimemsya-sestra-5-faktov-o-rabote-medsester/,covid-19
14,https://medportal.ru/mednovosti/posle-otkaza-ot-kureniya-lyudi-polneyut-uvelichivaet-li-eto-ris/,диабет
15,https://medportal.ru/mednovosti/u-odinokih-i-sotsialno-izolirovannyh-muzhchin-povyshen-risk-raz/,рак
16,https://medportal.ru/mednovosti/voz-ofitsialno-zayavila-ob-okonchanii-globalnoy-chrezvychaynoy/,covid-19
17,https://medportal.ru/mednovosti/rabotnikam-nochnyh-smen-luchshe-pitatsya-dnem/,диабет
18,https://medportal.ru/mednovosti/kak-narkotiki-vrach-nazval-5-sposobov-slezt-s-sosudosuzhiv/,орви
19,https://medportal.ru/mednovosti/horoshiy-son-sposobstvuet-kontrolyu-urovnya-sahara-v-krovi/,диабет
20,https://medportal.ru/mednovosti/ozhirenie-pecheni-svyazali-s-ogromnym-uvelicheniem-riska-raka/,рак
21,https://medportal.ru/mednovosti/pochemu-u-nekuryaschih-lyudey-mozhet-razvitsya-rak-legkogo-novye/,рак
22,https://medportal.ru/mednovosti/uchenye-sovetuyut-dobavlyat-ne-bolshe-6-chaynyh-lozhek-sahara-v/,рак
23,https://medportal.ru/mednovosti/covid-19-uskoryaet-progressirovanie-dementsii/,covid-19
24,https://medportal.ru/mednovosti/respiratornye-zabolevaniya-vnov-nabirayut-oboroty/,орви
25,https://medportal.ru/mednovosti/kurenie-est-li-menee-riskovannaya-alternativa/,рак
26,https://medportal.ru/mednovosti/pravilnoe-pitanie-pri-covid/,covid-19
27,https://medportal.ru/mednovosti/kak-snizit-risk-oslozhneniy-posle-covid-19/,covid-19
28,https://medportal.ru/mednovosti/detskiy-immunitet-kak-zaschitit-ot-virusov/,орви
29,https://medportal.ru/mednovosti/zhenskoe-serdtse/,рак
30,https://medportal.ru/mednovosti/spetsialnoe-pitanie-dlya-bolnyh-covid-99611761-ee28-418f-ab09-91f70157b141/,covid-19
31,https://medportal.ru/mednovosti/bezalkogolnoe-krasnoe-vino-imeet-te-zhe-poleznye-effekty-cht/,инсульт
32,https://medportal.ru/mednovosti/rossiyskiy-preparat-pomogaet-isklyuchit-oslozhneniya-posle-grip/,орви
33,https://medportal.ru/mednovosti/rabota-na-ulitse-svyazana-so-snizheniem-riska-raka-molochnoy-zhel/,рак
34,https://medportal.ru/mednovosti/polioksidoniy-v-klinicheskoy-praktike-ot-lichnogo-opyta-d/,орви
35,https://medportal.ru/mednovosti/kak-podderzhat-organizm-v-sezon-orvi/,орви
36,https://medportal.ru/mednovosti/ezhegodnyy-skrining-raka-yaichnikov-ne-snizhaet-smertnost-ot-et/,рак
37,https://medportal.ru/mednovosti/zhizn-bez-stressov-mozhet-negativno-skazatsya-na-kognitivnyh/,covid-19
38,https://medportal.ru/mednovosti/pediatr-aleksey-bessmertnyy-5-babushkinyh-metodov-lecheniya/,орви
39,https://medportal.ru/mednovosti/telemeditsina-est-li-ey-mesto-posle-pandemii/,covid-19
40,https://medportal.ru/mednovosti/passivnoe-kurenie-uvelichivaet-risk-rak-rotovoy-polosti-na-50/,рак
41,https://medportal.ru/mednovosti/puer-snizhaet-uroven-sahara-v-krovi-v-techenie-neskolkih-chas/,диабет
42,https://medportal.ru/mednovosti/nitraty/,рак
43,https://medportal.ru/mednovosti/bady-s-omega-3-kislotami-ne-zaschischayut-ot-raka-i-infarkta/,рак
44,https://medportal.ru/mednovosti/chistyaschie-sredstva-mogut-meshat-rabote-antibiotikov/,covid-19
45,https://medportal.ru/mednovosti/diabet-1-tipa-ne-smertelno-hotya-i-ne-lechitsya/,диабет
46,https://medportal.ru/mednovosti/esli-vrach-naznachil-gomeopatiyu-begite/,гепатит
47,https://medportal.ru/mednovosti/bolezn-altsgeymera-pyat-veschey-kotorye-nuzhno-znat/,диабет
48,https://medportal.ru/mednovosti/5-veskih-prichin-sdelat-privivku-ot-grippa-kak-mozhno-skoree/,орви
49,https://medportal.ru/mednovosti/petrovaks-nachal-postavki-chetyrehvalentnoy-vaktsiny-protiv-g/,covid-19
50,https://medportal.ru/mednovosti/kak-vaktsinatsiya-protiv-covid-19-vliyaet-na-erektsiyu/,covid-19
51,https://medportal.ru/mednovosti/top-5-veskih-prichin-kak-mozhno-skoree-posetit-urologa/,рак
52,https://medportal.ru/mednovosti/nizkiy-uroven-testosterona-povyshaet-risk-tyazhelogo-techeniya-c/,covid-19
53,https://medportal.ru/mednovosti/postkovidnyy-sindrom-kak-pomoch-organizmu-vosstanovitsya-po/,covid-19
54,https://medportal.ru/mednovosti/fizicheskie-uprazhneniya-mogut-snizit-risk-zarazheniya-covid-19/,covid-19
55,https://medportal.ru/mednovosti/5-mifov-ot-byustgalterov-ot-kotoryh-luchshe-izbavitsya/,рак
56,https://medportal.ru/mednovosti/ezda-na-velosipede-prodlevaet-zhizn-patsientov-s-diabetom-2-t/,диабет
57,https://medportal.ru/mednovosti/imt-okruzhnost-talii-tsvet-kozhi-mozhno-li-otsenit-zdorovie/,covid-19
58,https://medportal.ru/mednovosti/ne-publikovat-imeet-li-smysl-vo-vzroslom-vozraste-privivat/,рак
59,https://medportal.ru/mednovosti/kak-proverit-grud-5-pravil-dlya-samodiagnostiki/,рак
60,https://medportal.ru/mednovosti/iz-za-pandemii-covid-19-lyudi-stali-menshe-kurit/,covid-19
61,https://medportal.ru/mednovosti/gamburgery-i-kartoshka-fri-ploho-vliyayut-na-grudnoe-moloko/,инсульт
62,https://medportal.ru/mednovosti/deti-i-podrostki-menee-vospriimchivy-k-covid/,covid-19
63,https://medportal.ru/mednovosti/the-lancet-izmenenie-diety-posle-pandemii-mozhet-predotvrati/,инсульт
64,https://medportal.ru/mednovosti/avokado-pomogaet-snizit-uroven-plohogo-holesterina/,диабет
65,https://medportal.ru/mednovosti/pandemiya-covid-19-povliyala-na-rost-imt-u-detey/,covid-19
66,https://medportal.ru/mednovosti/rospotrebnadzor-snyal-vse-vvedennye-iz/,covid-19
