,Words,Frequency
0,автор,9620
1,медицинский,7216
2,редактор,4872
3,мазеина,581
4,екатерина,5265
5,минута,6594
6,главный,735
7,внештатный,270
8,специалист,810
9,инфекционным,276
10,болезням,168
11,минздрава,999
12,чуланов,28
13,заявил,600
14,превышении,60
15,эпидпорогов,11
16,орви,716
17,городах,301
18,отметил,686
19,рост,408
20,респираторными,434
21,инфекциями,740
22,фиксируется,88
23,уже,1026
24,сейчас,1776
25,предыдущей,100
26,неделе,306
27,было,2076
28,зарегистрировано,960
29,млн,147
30,случаев,2947
31,тасс.также,10
32,эксперт,749
33,подчеркнул,590
34,доля,256
35,вируса,1698
36,небольшая,126
37,напомнил,296
38,необходимости,1690
39,важно,1295
40,напомнить,63
41,начала,1044
42,сентября,400
43,нашей,525
44,стране,1182
45,проводится,750
46,кампания,168
47,населения,2259
48,против,1116
49,людям,1145
50,которые,3976
51,еще,1245
52,успели,84
53,вакцинироваться,240
54,рекомендуется,884
55,сделать,1428
56,это,2052
57,ближайшее,360
58,время,3535
59,защитить,456
60,свое,260
61,здоровье,1344
62,широкого,192
63,распространения,1965
64,вирусов,896
65,гриппа,984
66,особенно,2256
67,групп,795
68,риска,2125
69,пояснил,189
70,зачем,185
71,прививаться,396
72,все,1572
73,нашем,235
74,материале,270
75,читать,1590
76,статью,1626
77,ранее,1950
78,тасс,40
79,ссылкой,140
80,пресс-службу,72
81,роспотребнадзора,1184
82,сообщил,1022
83,из-за,1355
84,сезонного,144
85,роста,355
86,временно,160
87,вводиться,36
88,локальные,45
89,ограничения,891
90,чиновники,126
91,планируют,297
92,введение,392
93,масочного,81
94,режима,264
95,ограничительные,195
96,меры,740
97,такие,1395
98,как,1683
99,например,3256
100,масочный,80
101,режим,315
102,планируются,55
103,если,1648
104,этого,2385
105,будет,1445
106,серьезных,585
107,оснований,162
108,быть,1856
109,введены,63
110,локального,30
111,характера,180
112,определенный,228
113,период,1638
114,пресс-служба,108
115,доктора,322
116,терезы,12
117,ловинс,6
118,независимого,156
119,семейного,63
120,врача,870
121,многих,1314
122,настоящее,1134
123,наблюдаются,253
124,стороны,1050
125,верхних,168
126,дыхательных,561
127,путей,355
128,насморк,175
129,слезотечение,12
130,боль,592
131,горле,200
132,похоже,192
133,аллергию,48
134,этом,2172
135,лекарство,630
136,аллергии,240
137,работает,904
138,потом,405
139,пациент,868
140,начинает,456
141,чувствовать,242
142,себя,940
143,очень,1645
144,уставшим,16
145,рассказала,960
146,врач,804
147,врачей,1332
148,усталость,495
149,продолжает,380
150,беспокоить,40
151,пациентов,7299
152,ковидом,112
153,вот,345
154,другие,2046
155,хорошо,840
156,известные,225
157,глубокий,40
158,кашель,474
159,потеря,348
160,вкуса,240
161,обоняния,336
162,головная,312
163,лихорадка,396
164,стали,670
165,гораздо,1085
166,менее,1845
167,распространенными,340
168,выраженными,143
169,заболеваниям,672
170,ожидали,154
171,подобных,296
172,изменений,702
173,симптомах,405
174,легкой,498
175,ковида,204
176,учитывая,432
177,практически,1881
178,каждый,1236
179,перенес,406
180,сам,285
181,ковид,165
182,вакцинацию,780
183,другое,432
184,считают,2646
185,есть,2052
186,уровень,2030
187,иммунитета,1360
188,сталкивается,192
189,вирусом,910
190,лучше,1090
191,подготовлен,88
192,его,1509
193,отражению,9
194,кроме,2000
195,того,2512
196,меняет,102
197,клиническую,253
198,картину,210
199,заболевания,7304
200,медики,504
201,подчеркивают,1104
202,гражданам,162
203,следует,1351
204,относиться,330
205,легкомысленно,39
206,даже,1464
207,эта,702
208,инфкция,7
209,стала,415
210,больше,2838
211,похожа,36
212,обычную,112
213,простуду,96
214,данным,1908
215,центра,1158
216,контролю,616
217,профилактике,1932
218,заболеваний,6259
219,первую,1032
220,неделю,780
221,всей,392
222,более,2850
223,госпитализаций,420
224,поводу,714
225,тяжелой,581
226,составляет,1470
227,почти,1230
228,8%-ное,6
229,увеличение,1160
230,числа,420
231,сообщает,984
232,заболеваемости,2870
233,гриппом,504
234,российских,810
235,крайней,357
236,мере,448
237,говорится,729
238,сообщении,297
239,пресс-службы,48
240,роспотребнадзор,630
241,призвал,84
242,использовать,1800
243,антисептики,143
244,обрабоки,8
245,снизить,966
246,вероятность,2959
247,заражения,2916
248,офисах,30
249,организациях,120
250,входах,6
251,санитайзеры,11
252,привычной,45
253,мерой,70
254,обработки,198
255,никто,345
256,убирал,12
257,после,2365
258,отмены,72
259,всех,1632
260,ограничений,440
261,заметили,168
262,ведомстве,153
263,вернулся,104
264,нужно,1125
265,знать,530
266,этой,1560
267,осенью,246
268,зимой,120
269,врач-терапевт,8333
270,украинский,2040
271,андрей,1320
272,данные,3300
273,получили,880
274,проанализировав,210
275,великобритании,2618
276,опубликовано,1044
277,впч,162
278,важнейшая,45
279,составляющая,108
280,плана,55
281,всемирной,549
282,организации,1694
283,здравоохранения,5805
284,борьбе,516
285,элиминацию,20
286,бывают,216
287,четырехвалентрыми,17
288,двухвалентными,14
289,четырех,525
290,штаммов,266
291,соответственно,1288
292,последние,1242
293,составляют,260
294,глобального,220
295,таких,1600
296,вакцин,654
297,они,1710
298,работают,672
299,отвечают,232
300,исследования,13368
301,показывали,330
302,может,2510
303,снижать,231
304,предраковых,132
305,женщин,2034
306,иммунизации,297
307,инфицированы,516
308,этим,868
309,однако,3084
310,прямых,66
311,качественных,96
312,доказательств,936
313,предупреждает,338
314,непосредственно,720
315,матки,400
316,раньше,1092
317,существовало,120
318,указывают,1440
319,авторы,2448
320,данного,168
321,самая,315
322,распространенная,416
323,причина,728
324,нельзя,1146
325,вылечить,376
326,единственным,324
327,эффективным,374
328,способом,344
329,защиты,834
330,инфекции,5208
331,остается,1232
332,вакцинация,1140
333,новом,725
334,исследовании,4884
335,подвели,14
336,массовой,240
337,год,822
338,очередь,1407
339,она,948
340,лет,2703
341,дополнительно,377
342,прививали,63
343,тех,1104
344,кто,900
345,получил,532
346,прививку,424
347,ранние,114
348,моделирования,234
349,говорили,320
350,влияние,987
351,программы,819
352,году,1388
353,существенным,132
354,наше,292
355,новое,790
356,ставило,21
357,целью,385
358,подсчитать,30
359,раннее,204
360,сказал,900
361,профессор,2232
362,питер,85
363,сасиени,7
364,королевского,264
365,колледжа,576
366,лондона,427
367,соавтор,798
368,который,2989
369,охватывает,90
370,исследование,8196
371,установлено,297
372,диагнозов,180
373,карцином,24
374,опухоль,630
375,мелкая,12
376,выходит,119
377,пределы,98
378,эпителия,96
379,слизистой,459
380,оболочки,296
381,подсчитали,150
382,привитых,400
383,девушек,42
384,развилось,63
385,опухолей,728
386,этих,1304
387,типов,335
388,чем,1608
389,могло,230
390,развиться,315
391,вакцинации,2030
392,снизился,224
393,карциномы,54
394,хотя,900
395,одну,212
396,дозу,164
397,них,1818
398,привиты,189
399,тремя,65
400,дозами,48
401,узнайте,49
402,опухоли,1029
403,среди,1810
404,распространялись,48
405,дополнительные,980
406,показатели,1610
407,скромнее,16
408,снижался,120
409,группе,1350
410,существенно,1199
411,поздней,126
412,был,1287
413,выше,1452
414,заразиться,780
415,пандемия,672
416,привела,161
417,огромным,48
418,жертвам,7
419,мире,1436
420,погибло,84
421,семь,208
422,миллионов,1269
423,человек,5117
424,благодаря,1143
425,вакцинам,88
426,существующему,13
427,иммунитету,140
428,эффективному,12
429,лечению,889
430,вирус,1145
431,стал,368
432,управляемым,11
433,смертоносен,11
434,людей,4620
435,имеет,770
436,высокий,945
437,долгосрочных,216
438,осложнений,1880
439,обычный,112
440,грипп,395
441,также,3105
442,сезонен,7
443,заразен,119
444,три,648
445,зимы,12
446,приходился,40
447,декабря,392
448,январь,78
449,тогда,720
450,приходится,1310
451,поздний,21
452,считается,882
453,ежегодная,63
454,бустерная,18
455,принесет,80
456,наиболее,2104
457,уязвимым,64
458,слоям,10
459,вопрос,1122
460,том,2334
461,принесут,24
462,вакцины,1323
463,дополнительную,70
464,остальным,117
465,спорным,14
466,европейские,121
467,страны,1104
468,рекомендуют,1243
469,ежегодные,54
470,прививки,736
471,только,2742
472,группам,252
473,повышенного,451
474,некоторые,2349
475,эксперты,1360
476,видят,90
477,недостатков,55
478,широких,56
479,рекомендациях,455
480,ученых,2304
481,швейцарии,135
482,проанализировала,320
483,контакты,272
484,положительных,364
485,пришли,378
486,выводу,300
487,окружающих,510
488,третий,264
489,подвергшийся,12
490,воздействию,341
491,инфицирован,264
492,двое,112
493,пяти,336
494,омикроном,117
495,случае,2142
496,полученного,33
497,результате,1560
498,или,1413
499,комбинации,390
500,этот,1680
501,показатель,1300
502,падает,174
503,одного,1236
504,десяти,258
505,исчезает,72
506,нескольких,1240
507,месяцев,1813
508,подтверждает,372
509,женевского,10
510,университета,5856
511,университетских,15
512,больниц,539
513,женевы,24
514,пересмотра,40
515,эпидемиологических,324
516,данных,1986
517,собранных,81
518,женеве,30
519,были,1924
520,проанализированы,480
521,контактов,342
522,зарегистрированных,396
523,кантоне,7
524,женева,6
525,июня,236
526,года,2880
527,март,76
528,цифры,190
529,представляют,444
530,собой,620
531,весьма,288
532,обширную,40
533,базу,96
534,количества,1690
535,так,2064
536,спектра,126
537,предоставляемой,30
538,информации,1220
539,площадь,35
540,проживания,90
541,возраст,1246
542,вес,252
543,тип,117
544,симптомов,2799
545,статус,162
546,даты,36
547,и/или,65
548,защита,270
549,несколько,2646
550,снижает,812
551,заразность,80
552,больных,2107
553,длительного,418
554,периода,434
555,поскольку,2421
556,число,840
557,снова,390
558,растет,450
559,фильтрация,10
560,воздуха,406
561,вентиляция,230
562,ношение,154
563,масок,245
564,рядом,275
565,уязвимыми,171
566,людьми,774
567,кажутся,70
568,необходимыми,180
569,мерами,84
570,помощь,720
571,всем,1104
572,ненастоящим,11
573,спортсменам,33
574,спешат,36
575,американские,1128
576,исследователи,3484
577,работе,936
578,опубликованной,196
579,научном,203
580,журнале,1323
581,попытались,150
582,понять,582
583,быстро,834
584,угасает,7
585,спортивная,80
586,мотивация,36
587,изучили,588
588,поведение,234
589,тысяч,1500
590,часто,1500
591,эффективно,770
592,посещают,32
593,тренажерный,22
594,зал,12
595,эксперимент,264
596,проводился,180
597,течение,2730
598,недель,756
599,спортивной,60
600,сети,216
601,проверили,378
602,различных,1485
603,тренировок,140
604,посмотрели,50
605,взаимодействуют,120
606,друг,196
607,другом,252
608,сравнили,608
609,результаты,4630
610,результатами,444
611,контрольной,748
612,группы,1980
613,итоге,435
614,выяснили,920
615,все-таки,424
616,существует,1980
617,волшебная,27
618,таблетка,64
619,лени,4
620,одна,736
621,целых,40
622,четыре,570
623,давайте,119
624,поговорим,72
625,подробнее,153
626,планируйте,20
627,человеку,704
628,труднее,35
629,отказаться,440
630,тренировки,210
631,запланирована,13
632,определите,10
633,дни,156
634,вам,237
635,удобно,48
636,заниматься,470
637,запишите,16
638,тренировку,40
639,список,372
640,день,1568
641,соберите,40
642,сумку,10
643,подготовьте,33
644,бутылку,14
645,водой,160
646,забудьте,40
647,взять,235
648,беспроводные,12
649,наушники,24
650,любая,160
651,подготовка,120
652,сказывается,330
653,мотивации,81
654,значительно,2365
655,экономит,8
656,вернуться,279
657,тренировкам,33
658,помощью,1470
659,экспертов,630
660,разбираемся,550
661,пойти,110
662,спортзал,24
663,сразу,660
664,полегчает,9
665,стоит,930
666,подождать,135
667,телефон,105
668,водовороте,10
669,забыть,36
670,тренировке,20
671,радостью,16
672,пойдет,54
673,тягать,6
674,штангу,6
675,покорять,8
676,беговую,21
677,дорожку,21
678,полчаса-час,11
679,занятия,133
680,уведомление,33
681,вознаграждайте,14
682,желательно,330
683,конечно,777
684,пиццей,6
685,одно,496
686,лицо,160
687,чем-то,96
688,полезным,104
689,пропал,24
690,эффект,972
691,занятий,133
692,стимулах,8
693,предлагают,410
694,электронные,264
695,фитнес-программы,16
696,зачисляли,9
697,баллы,25
698,сумму,35
699,доллара,49
700,частота,378
701,посещений,54
702,увеличивалась,130
703,представьте,110
704,такое,690
705,незначительное,98
706,вознаграждение,28
707,помогает,888
708,чаще,1668
709,возвращаться,132
710,спорту,24
711,выбирайте,45
712,популярные,110
713,направления,220
714,фитнеса,14
715,согласно,2224
716,исследованию,660
717,знает,245
718,упражнения,420
719,модные,6
720,охотой,6
721,идет,544
722,рассказывали,228
